;fit_time;score_time;test_roc_auc;test_precision;test_recall;repeat;fold;features;model
0;0.7291831970214844;0.023233890533447266;0.5;0.5714285714285714;1.0;0;0;eeg_abcd_merged;gssvm
1;0.7736012935638428;0.023019075393676758;0.625;0.5714285714285714;1.0;0;1;eeg_abcd_merged;gssvm
2;0.7032468318939209;0.024903297424316406;0.75;0.5714285714285714;1.0;0;2;eeg_abcd_merged;gssvm
3;0.7319400310516357;0.02187967300415039;0.625;0.5714285714285714;1.0;0;3;eeg_abcd_merged;gssvm
4;0.5845482349395752;0.019601106643676758;0.75;0.5714285714285714;1.0;0;4;eeg_abcd_merged;gssvm
5;0.5946700572967529;0.019533634185791016;0.41666666666666663;0.5;0.5;1;0;eeg_abcd_merged;gssvm
6;0.5713536739349365;0.01958751678466797;0.625;0.5714285714285714;1.0;1;1;eeg_abcd_merged;gssvm
7;0.5705499649047852;0.020273685455322266;0.4583333333333334;0.5714285714285714;1.0;1;2;eeg_abcd_merged;gssvm
8;0.5699291229248047;0.01939988136291504;0.7083333333333334;0.5714285714285714;1.0;1;3;eeg_abcd_merged;gssvm
9;0.5915064811706543;0.022174596786499023;0.5;0.5714285714285714;1.0;1;4;eeg_abcd_merged;gssvm
10;0.5808541774749756;0.019487857818603516;0.5;0.5714285714285714;1.0;2;0;eeg_abcd_merged;gssvm
11;0.5709836483001709;0.019519329071044922;0.75;0.5714285714285714;1.0;2;1;eeg_abcd_merged;gssvm
12;0.5708017349243164;0.019391775131225586;0.5833333333333334;0.5714285714285714;1.0;2;2;eeg_abcd_merged;gssvm
13;0.5716197490692139;0.019346952438354492;0.75;0.5714285714285714;1.0;2;3;eeg_abcd_merged;gssvm
14;0.5709476470947266;0.019509077072143555;0.2916666666666667;0.4;0.5;2;4;eeg_abcd_merged;gssvm
15;0.5728981494903564;0.019478559494018555;0.6666666666666667;0.5714285714285714;1.0;3;0;eeg_abcd_merged;gssvm
16;0.5706009864807129;0.01955127716064453;0.625;0.5714285714285714;1.0;3;1;eeg_abcd_merged;gssvm
