Target;;Enrollment;Enrollment;Enrollment;Discharge;Discharge;Discharge
Metric;;ROC AUC;Precision;Recall;ROC AUC;Precision;Recall
Model;Features;;;;;;
Random Forest;Visual (EEG);0.79 [0.77 0.80];0.74 [0.63 0.81];0.54 [0.45 0.64];0.71 [0.66 0.74];0.83 [0.70 0.90];0.56 [0.54 0.61]
Random Forest;ABCD (EEG);0.64 [0.58 0.68];0.53 [0.38 0.63];0.56 [0.38 0.67];0.58 [0.56 0.61];0.67 [0.61 0.74];0.61 [0.59 0.67]
Random Forest;Markers (EEG);0.60 [0.52 0.66];0.52 [0.37 0.66];0.37 [0.27 0.47];0.71 [0.64 0.76];0.69 [0.64 0.73];0.76 [0.70 0.82]
Random Forest;Markers R (EEG);0.56 [0.47 0.63];0.49 [0.34 0.61];0.39 [0.28 0.47];0.71 [0.63 0.76];0.69 [0.63 0.73];0.78 [0.71 0.84]
Random Forest;Markers S (EEG);0.62 [0.54 0.67];0.54 [0.39 0.69];0.42 [0.28 0.50];0.66 [0.59 0.72];0.65 [0.61 0.70];0.74 [0.66 0.82]
Random Forest;SVM Model (EEG);0.63 [0.55 0.70];0.47 [0.35 0.59];0.41 [0.33 0.50];0.54 [0.46 0.61];0.55 [0.49 0.62];0.56 [0.48 0.63]
Random Forest;FC (fMRI);0.75 [0.67 0.82];0.67 [0.54 0.77];0.60 [0.48 0.70];0.64 [0.58 0.72];0.68 [0.64 0.72];0.85 [0.78 0.90]
Support Vector Machine;Visual (EEG);0.70 [0.68 0.71];0.76 [0.52 0.93];0.40 [0.22 0.59];0.56 [0.46 0.65];0.60 [0.58 0.61];0.97 [0.90 1.00]
Support Vector Machine;ABCD (EEG);0.61 [0.52 0.64];0.05 [0.00 0.17];0.03 [0.00 0.10];0.58 [0.46 0.64];0.58 [0.54 0.59];0.94 [0.86 1.00]
Support Vector Machine;Markers (EEG);0.61 [0.53 0.68];0.31 [0.12 0.54];0.27 [0.10 0.47];0.63 [0.54 0.72];0.64 [0.56 0.72];0.68 [0.56 0.82]
Support Vector Machine;Markers R (EEG);0.60 [0.50 0.69];0.42 [0.21 0.60];0.35 [0.18 0.52];0.68 [0.60 0.78];0.69 [0.63 0.76];0.73 [0.61 0.86]
Support Vector Machine;Markers S (EEG);0.64 [0.54 0.72];0.43 [0.20 0.68];0.33 [0.17 0.50];0.60 [0.51 0.67];0.62 [0.54 0.71];0.69 [0.57 0.81]
Support Vector Machine;SVM Model (EEG);0.64 [0.54 0.69];0.18 [0.04 0.34];0.18 [0.03 0.35];0.69 [0.62 0.75];0.61 [0.56 0.65];0.82 [0.75 0.91]
Support Vector Machine;FC (fMRI);0.71 [0.62 0.81];0.64 [0.46 0.76];0.57 [0.39 0.70];0.66 [0.56 0.76];0.68 [0.62 0.76];0.88 [0.71 1.00]
